facility_name,city,postal_code,CSDname,latitude,longitude,street_no,street_name,province,odhf_facility_type
Niagara Health System - St. Catharines,st catharines,L2S 0A9,St. Catharines,43.153522,-79.278683,1200,fourth avenue,on,Hospitals
Niagara Health System - St. Catharines General Site,st catharines,L2R 7C6,St. Catharines,43.153663,-79.2785,142,queenston st,on,Hospitals
Nipigon District Memorial Hospital,nipigon,P0T 2J0,Nipigon,49.0155755,-88.2759054,125,hogan rd,on,Hospitals
Norfolk General Hospital,simcoe,N3Y 1T7,Norfolk County,42.8354184,-80.3145314,365,west st,on,Hospitals
North Bay General Hospital - Mclaren Site,north bay,P1B 5A4,North Bay,46.3196998,-79.4661452,720,mclaren st,on,Hospitals
North Bay Regional Health Centre,north bay,P1B 0A4,North Bay,46.335613,-79.498369,50,college dr,on,Hospitals
North of Superior Healthcare Group - Mccausland Hospital,terrace bay,P0T 2W0,Terrace Bay,48.78045446,-87.10460125,20,cartier drive,on,Hospitals
Matthews Memorial Hospital,richards landing,P0R 1J0,St. Joseph,46.29326568,-84.03556234,1180,richards street,on,Hospitals
North Wellington Health Care - Louise Marshall Hospital,mount forest,N0G 2L3,Wellington North,43.97461989999999,-80.73751709999999,630,dublin st,on,Hospitals
North York General Hospital - Branson Division,north york,M2R 1N5,Toronto,43.7724535,-79.44813609999999,555,finch ave w,on,Hospitals
North York General Hospital - General Division,north york,M2K 1E1,Toronto,43.76954979999999,-79.36320649999999,4001,leslie st,on,Hospitals
North York General Hospital — Reactivation Care Centre Finch,toronto,M3N 1N1,Toronto,,,,,on,Hospitals
Northumberland Hills Hospital,cobourg,K9A 2W6,Cobourg,43.977748,-78.198437,1000,depalma dr,on,Hospitals
Notre-Dame Hospital - Hearst,hearst,P0L 1N0,Hearst,49.6857339,-83.67905,1405,edward st,on,Hospitals
Sunnybrook Health Sciences Centre - Bayview Campus,toronto,M4N 3M5,Toronto,43.720661,-79.378057,2075,bayview ave,on,Hospitals
Ongwanada Hospital,kingston,K7M 8A6,Kingston,44.2276751,-76.52386700000001,191,portsmouth ave,on,Hospitals
Ontario Shores Centre for Mental Health Sciences,whitby,L1N 5S9,Whitby,43.849046,-78.947981,700,gordon st,on,Hospitals
Orillia Soldiers' Memorial Hospital,orillia,L3V 2Z3,Orillia,44.605089,-79.425605,170,colborne st w,on,Hospitals
Pembroke Regional Hospital,pembroke,K8A 1G8,Pembroke,45.8141184,-77.1067995,705,mackay st,on,Hospitals
Perth and Smiths Falls District Hospital,smiths falls,K7A 2H9,Drummond/North Elmsley,44.906447,-76.13975400000001,60,cornelia st w,on,Hospitals
Perth and Smiths Falls District Hospital - Perth,perth,K7H 2K1,Perth,44.906182,-76.253006,33,drummond street w,on,Hospitals
Peterborough Regional Health Centre,peterborough,K9J 7C6,Peterborough,44.3002405,-78.3473413,1,hospital dr,on,Hospitals
Providence Care - Mental Health Services,kingston,K7L 4X3,Kingston,44.2160089,-76.52865609999999,752,king st w,on,Hospitals
Queensway Carleton Hospital,ottawa,K2H 8P4,Ottawa,45.3350269,-75.8069842,3045,baseline rd,on,Hospitals
Quinte Health Care - North Hastings District Hospital,bancroft,K0L 1C0,Bancroft,45.055076,-77.8642118,1 h,manor lane,on,Hospitals
Belleville General Hospital,belleville,K8N 5A9,Belleville,44.1627054,-77.3643232,265,dundas st e,on,Hospitals
Quinte Health Care - Prince Edward County Memorial Hospital,picton,K0K 2T0,Prince Edward County,44.0158672,-77.1375427,403,main st e,on,Hospitals
Quinte Healthcare Corporation - Trenton Memorial Hospital,trenton,K8V 5S6,Quinte West,44.0998993,-77.58824270000001,242,king st,on,Hospitals
r. s. Mclaughlin Durham Regional Cancer Centre,oshawa,L1G 2B9,Oshawa,43.9066084,-78.8703454,1,hospital ct,on,Hospitals
Red Lake Margaret Cochenour Memorial Hospital,red lake,P0V 2M0,Red Lake,51.0132617,-93.8224349,51,hwy 105,on,Hospitals
Regional Mental Health Care - London,london,N6A 4H1,London,43.00394179999999,-81.20523940000001,850,highbury ave,on,Hospitals
Renfrew Victoria Hospital,renfrew,K7V 1P6,Renfrew,45.4826219,-76.69672249999999,499,raglan st n,on,Hospitals
Ross Memorial Hospital,kawartha lakes,K9V 4M8,Kawartha Lakes,44.3536194,-78.7522193,10,angeline street n,on,Hospitals
Scarborough Health Network - Centenary Hospital,toronto,M1E 4B9,Toronto,43.7807594,-79.20502259999999,2867,ellesmere rd,on,Hospitals
Royal Ottawa Health Care Group - Brockville Mental Health Centre,brockville,K6V 5W7,Elizabethtown-Kitley,44.602034,-75.66444,1804,highway 2 e,on,Hospitals
Royal Ottawa Mental Health Centre,ottawa,K1Z 7K4,Ottawa,45.3890056,-75.7301564,1145,carling ave,on,Hospitals
